id,year,locationName,latitude_eq,longitude_eq,damageAmountOrder,publish,country,regionCode_eq,intensity,deathsAmountOrder,tsunamiEventId,deathsAmountOrderTotal,eqDepth,deaths,housesDestroyedAmountOrder,deathsTotal,damageAmountOrderTotal,housesDestroyedAmountOrderTotal,month,day,volcanoEventId,housesDamagedAmountOrder,injuries,injuriesAmountOrder,injuriesTotal,injuriesAmountOrderTotal,hour,housesDamagedAmountOrderTotal,minute,housesDestroyed,housesDamaged,housesDestroyedTotal,housesDamagedTotal,area,second,damageMillionsDollars,missing,missingAmountOrder,missingTotal,missingAmountOrderTotal,damageMillionsDollarsTotal,magnitude_Mw,MagnitudeSource,earthquakeEventId,oceanicTsunami,maxWaterHeight,regionCode_ts,latitude_ts,longitude_ts,same_region
1381,1766,CUBA:  SANTIAGO DE CUBA,19.9,-76.1,3.0,True,CUBA,90,9.0,1.0,489.0,1.0,25.0,40.0,3.0,40.0,3.0,3.0,6.0,12.0,,,700.0,3.0,700.0,3.0,5.0,,0.0,,,,,,,,,,,,,6.6259999999999994,Ms→Mw,1381.0,1,,74.0,19.9,-76.1,False
1398,1769,RUSSIA: LAKE BAYKAL (BAIKAL),51.8,105.5,,True,RUSSIA,40,10.0,,,,40.0,,,,,,10.0,24.0,,,,,,,13.0,,,,,,,,,,,,,,,7.3,None,,0,,,,,False
1439,1780,IRAN:  TABRIZ,38.0,46.2,4.0,True,IRAN,140,9.0,4.0,,4.0,20.0,50000.0,4.0,50000.0,4.0,4.0,1.0,8.0,,,,,,,19.0,,30.0,,,,,,,,,,,,,7.7,None,,0,,,,,False
1442,1780,RUSSIA:  KURIL ISLANDS,45.3,151.2,,True,RUSSIA,50,,,524.0,1.0,40.0,,,12.0,1.0,1.0,6.0,29.0,,,,,,,,,,,,,,,,,,,,,,7.095000000000001,Ms→Mw,1442.0,1,12.0,86.0,45.3,151.2,False
1455,1783,ITALY:  TYRRHENIAN CALABRIA,38.3,15.967,4.0,True,ITALY,130,11.0,4.0,2769.0,4.0,13.0,30000.0,4.0,30000.0,4.0,4.0,2.0,5.0,,,,,,,12.0,,0.0,,,,,,,,,,,,,6.693,Ms→Mw,1455.0,1,,50.0,38.3,15.967,False
1462,1783,ITALY:  MESSINA STRAITS,38.217,15.633,,True,ITALY,130,8.0,,3209.0,4.0,6.0,,,1500.0,,,2.0,6.0,,,,,,,0.0,,20.0,,,,,,,,,,,,,6.023,Ms→Mw,1462.0,1,16.0,50.0,38.217,15.633,False
1467,1783,ITALY:  TYRRHENIAN CALABRIA,38.783,16.467,3.0,True,ITALY,130,10.0,3.0,3211.0,3.0,18.0,,3.0,,3.0,3.0,3.0,28.0,,,,,,,18.0,,55.0,,,,,,,,,,,,,6.693,Ms→Mw,1467.0,1,,50.0,38.783,16.467,False
1505,1790,RUSSIA:  NEAR KAMCHATKA,54.0,162.0,,True,RUSSIA,50,10.0,,,,20.0,,,,,,12.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,7.5,None,,0,,,,,False
1517,1792,RUSSIA:  NEAR KAMCHATKA,54.0,162.0,,True,RUSSIA,50,11.0,,570.0,,40.0,,,,,,8.0,22.0,,,,,,,18.0,,,,,,,,,,,,,,,8.4,None,1517.0,1,,86.0,54.0,162.0,False
1521,1793,"JAPAN:  SANRIKU,RIKUZEN,RIKUCHU",38.5,144.0,3.0,True,JAPAN,30,,1.0,573.0,3.0,33.0,25.0,4.0,745.0,3.0,4.0,2.0,17.0,,,,,,,,,,1060.0,,1160.0,,,,,,,,,,7.631,Ms→Mw,1521.0,1,4.5,85.0,38.5,144.0,False
